,Lemma,POS,4,12,6,13,10,14,11,8,7,2,5,15,9,3,17,16,19,18,1,First_Level,Total,Levels,First_Level_Margin_0.01,First_Level_Margin_0.02
48,"""",punc,61,2063,136,590,1092,1963,585,465,231,4,87,636,285,18,115,269,1,12,5,1,8617.0,18.0,5.0,6.0
49,كُلّ,noun_quant,15,665,16,228,408,726,232,130,89,3,23,154,57,5,25,48,3,4,0,2,2828.0,17.0,6.0,7.0
50,أَرْض,noun,5,308,3,84,151,308,96,42,17,0,10,40,11,5,3,18,0,1,0,3,1102.0,16.0,6.0,7.0
51,شِدَّة,noun,1,26,1,22,13,19,23,4,3,1,0,9,4,1,0,3,0,0,0,2,130.0,14.0,4.0,5.0
52,-,punc,33,1211,80,194,239,582,141,176,206,20,104,204,65,72,22,114,0,0,4,1,3467.0,17.0,3.0,3.0
53,صَدِيق,noun,2,104,4,39,103,24,52,43,59,0,7,3,33,4,1,1,0,0,0,3,479.0,15.0,5.0,6.0
54,نِهايَة,noun,1,59,3,23,33,73,30,12,6,0,9,17,5,0,4,16,0,0,0,4,291.0,14.0,5.0,5.0
55,تَمّ,verb,1,110,1,40,55,216,39,22,3,0,3,52,4,0,11,20,0,1,0,4,578.0,15.0,8.0,8.0
56,لِ,prep,7,818,25,372,546,591,266,237,112,0,24,189,115,2,16,72,1,8,0,3,3400.0,16.0,7.0,7.0
57,:,punc,71,1987,162,541,1169,1452,661,660,564,24,304,315,363,65,49,90,4,6,6,1,8489.0,18.0,4.0,5.0
58,ما,pron_interrog,1,163,25,47,177,116,73,67,61,0,89,14,38,1,5,1,0,0,0,3,878.0,15.0,5.0,5.0
59,؟,punc,8,774,113,188,686,415,248,456,550,10,387,116,315,8,16,35,1,0,9,1,4334.0,17.0,5.0,5.0
60,حِمايَة,noun,1,38,0,8,14,102,16,4,2,1,0,14,4,1,0,4,0,0,0,2,209.0,13.0,5.0,8.0
61,عالَم,noun,1,221,5,52,99,332,89,19,26,1,11,83,9,3,4,31,0,2,0,2,988.0,17.0,5.0,7.0
62,كَبِير,adj,2,246,5,64,128,225,100,43,34,2,7,65,26,7,7,14,0,0,0,2,975.0,16.0,5.0,7.0
63,هٰذا,pron_dem,9,1291,44,478,831,1290,460,395,216,3,84,371,156,25,64,156,1,0,0,2,5873.0,16.0,5.0,6.0
64,بِ,prep,2,557,12,224,321,534,180,87,28,0,12,136,56,0,40,67,3,4,0,4,2260.0,15.0,7.0,8.0
65,إِيمان,noun,1,51,1,25,19,41,20,5,10,0,1,5,3,0,0,2,0,0,0,4,184.0,13.0,6.0,7.0
66,رَسُول,noun,1,203,5,51,55,151,50,17,9,0,2,34,19,0,2,1,1,0,0,4,600.0,14.0,7.0,8.0
67,سَلام,noun,7,148,1,14,123,92,30,18,5,0,5,12,13,2,1,0,0,1,0,3,472.0,15.0,4.0,6.0
68,أَظْهَر,verb,2,48,3,26,27,58,32,15,6,0,1,15,4,0,1,4,0,0,0,4,242.0,14.0,6.0,7.0
69,أَصْل,noun,1,50,1,11,31,84,12,8,10,0,7,22,2,1,11,16,0,0,0,3,267.0,15.0,5.0,5.0
70,حَقّ,noun,5,174,1,38,48,383,31,16,17,0,6,63,11,0,3,22,0,0,0,4,818.0,14.0,6.0,7.0
71,سَبَب,noun,1,147,3,59,86,194,74,28,19,0,8,47,10,3,5,14,0,3,0,3,701.0,16.0,5.0,7.0
72,سُورَة,noun,1,161,2,182,11,200,6,10,4,0,10,10,0,2,3,0,0,0,0,3,602.0,13.0,5.0,6.0
73,فِيل,noun,1,23,0,9,15,15,2,4,3,0,2,2,0,6,2,1,0,0,1,1,86.0,14.0,1.0,3.0
74,جُمْلَة,noun,1,49,1,16,44,24,23,15,26,1,11,10,8,6,2,2,0,0,0,2,239.0,16.0,3.0,3.0
75,ٱِسْمِيّ,adj,1,5,0,3,7,5,0,2,2,0,2,1,0,4,0,2,0,0,0,3,34.0,11.0,3.0,3.0
76,صَحِيح,adj,2,90,2,26,71,132,62,49,30,0,12,23,14,3,9,8,0,4,1,1,538.0,17.0,5.0,5.0
77,قِصَّة,noun,3,86,3,21,50,64,37,25,35,1,4,18,7,4,3,5,0,0,1,1,367.0,17.0,3.0,5.0
78,مُساعَدَة,noun,2,44,3,15,14,34,20,15,7,0,1,5,2,0,1,0,0,0,0,4,163.0,13.0,4.0,7.0
79,مُعَلِّم,noun,3,26,11,8,32,12,15,27,11,2,4,4,6,2,1,3,0,0,0,2,167.0,16.0,2.0,4.0
80,رَأَى,verb,1,280,5,159,199,139,100,93,26,0,8,62,25,0,15,27,3,4,0,4,1143.0,15.0,7.0,7.0
81,إِنْسان,noun,5,181,1,53,83,202,56,19,23,2,7,54,16,2,2,32,0,0,1,1,739.0,17.0,5.0,6.0
82,مَكان,noun,3,174,7,53,126,157,81,54,27,0,9,28,15,3,5,12,0,0,0,3,754.0,15.0,5.0,7.0
83,مَرَض,noun,1,46,2,16,23,68,11,0,3,0,1,6,3,1,1,2,0,0,0,3,184.0,14.0,5.0,7.0
84,سَنَة,noun,2,338,5,80,117,372,78,35,17,0,11,71,7,1,4,27,0,0,0,3,1165.0,15.0,6.0,8.0
85,هِيَ,pron,5,521,14,131,233,544,158,90,55,0,15,145,28,8,19,65,0,1,1,1,2033.0,17.0,6.0,7.0
86,مَكَّة,noun_prop,1,47,1,14,18,56,19,3,3,0,1,6,2,0,0,2,0,0,0,4,173.0,13.0,6.0,8.0
87,مَدِينَة,noun,2,253,2,58,141,232,60,40,31,0,6,47,10,5,3,6,0,0,0,3,896.0,15.0,6.0,7.0
88,صَلَّى,verb,1,206,5,40,53,121,39,20,14,0,1,27,11,0,2,3,0,0,0,4,543.0,14.0,7.0,7.0
89,دَوْلَة,noun,1,378,8,47,149,754,134,38,38,1,17,166,21,3,2,28,0,0,0,2,1785.0,16.0,6.0,7.0
90,إِمارَة,noun,2,146,6,29,81,148,64,24,34,0,34,25,9,3,0,4,0,0,0,3,609.0,14.0,5.0,5.0
91,عَرَبِيّ,adj,1,247,16,33,102,409,100,30,24,0,11,87,14,2,10,30,0,0,0,3,1116.0,15.0,6.0,7.0
92,أَنا,pron,15,179,18,79,138,42,68,137,47,13,33,11,52,16,4,5,2,0,1,1,858.0,17.0,2.0,4.0
93,جَوْعان,noun,1,1,0,0,0,2,1,0,0,2,1,0,1,0,0,0,0,0,0,2,9.0,7.0,2.0,2.0
94,أَبُو,noun_prop,1,108,5,30,46,76,48,12,24,0,7,45,10,3,3,15,1,0,0,3,433.0,15.0,5.0,6.0
95,وَطَن,noun,1,54,1,13,29,63,27,13,11,1,10,18,9,7,0,4,0,0,0,2,261.0,15.0,3.0,3.0
96,سَلامَة,noun,2,16,1,5,2,37,8,1,1,0,2,5,3,0,0,1,0,0,0,4,84.0,13.0,4.0,4.0
97,آخِر,adj_comp,1,39,1,18,13,60,16,4,4,0,2,21,4,0,1,3,0,1,0,4,188.0,15.0,5.0,7.0
98,ثانِي,adj_num,1,177,8,44,84,220,66,48,31,0,43,49,14,1,6,8,0,0,0,3,800.0,15.0,5.0,5.0
99,أَب,noun,1,153,9,54,122,49,60,36,29,0,17,13,56,10,4,4,0,0,0,3,617.0,15.0,3.0,5.0
100,خِلال,noun,1,158,2,32,58,296,58,21,11,0,1,54,7,0,5,32,0,0,0,4,736.0,14.0,7.0,8.0
101,مَكانَة,noun,1,22,0,3,3,25,5,2,0,0,0,9,0,0,0,3,0,0,0,4,73.0,9.0,4.0,8.0
102,2,digit,1,60,7,51,25,57,21,14,15,0,6,9,1,6,1,2,0,0,0,3,276.0,15.0,3.0,3.0
103,سَيِّد,noun,3,116,3,24,52,44,26,10,6,0,1,13,49,2,2,1,0,0,0,3,352.0,15.0,5.0,7.0
104,بَيْت,noun,5,181,8,52,102,99,68,50,38,1,15,32,22,7,0,4,0,0,1,1,685.0,16.0,3.0,5.0
105,مَساء,noun,2,23,0,7,13,18,4,7,8,1,2,1,2,0,0,1,0,0,0,2,89.0,13.0,2.0,4.0
106,فِكْر,noun,1,51,0,31,28,91,34,8,11,0,1,45,8,0,8,35,0,0,0,4,352.0,13.0,7.0,7.0
107,نَصّ,noun,2,56,0,6,24,74,38,29,23,1,18,16,4,6,2,4,0,0,0,2,303.0,15.0,3.0,4.0
108,مَع,noun,14,559,15,167,299,612,207,146,104,0,19,143,55,1,31,69,2,1,1,1,2443.0,17.0,6.0,7.0
109,يا,part_voc,2,174,2,87,169,51,52,5,0,0,0,27,534,0,8,9,4,1,0,4,1121.0,13.0,9.0,9.0
110,قَيْس,noun_prop,1,7,0,0,6,4,2,0,0,0,0,9,0,0,2,1,0,0,0,4,32.0,8.0,4.0,4.0
111,وَزِير,noun,1,45,2,10,21,101,16,15,1,0,1,9,18,1,1,4,0,0,0,3,246.0,15.0,6.0,7.0
112,أَكَل,verb,7,48,3,21,50,4,6,21,14,1,10,8,3,0,1,0,0,0,0,2,197.0,14.0,4.0,4.0
113,لَحْم,noun,1,42,3,3,23,12,17,5,6,0,2,3,3,1,2,2,1,1,0,3,126.0,16.0,5.0,6.0
114,ناقَش,verb,1,17,0,1,8,19,15,9,6,0,2,5,0,1,0,2,0,0,0,3,86.0,12.0,3.0,5.0
115,تَعْرِيف,noun,1,19,0,1,10,59,10,2,2,0,2,14,0,0,9,6,0,0,0,4,135.0,12.0,5.0,6.0
116,واحِد,noun_num,3,237,6,55,118,218,69,56,21,2,6,44,10,1,6,24,0,1,0,2,877.0,17.0,6.0,7.0
117,عِبارَة,noun,1,62,0,24,47,49,62,22,27,0,8,10,20,0,1,3,0,0,0,4,336.0,13.0,5.0,5.0
118,ناس,noun,3,193,2,112,117,166,61,34,26,0,3,32,16,1,3,11,2,1,0,3,781.0,16.0,7.0,7.0
119,سَلِيم,adj,1,26,0,5,11,24,10,7,3,0,1,4,2,0,1,2,0,0,0,4,97.0,13.0,4.0,6.0
120,مَبْلَغ,noun,1,21,0,4,8,27,5,3,0,0,1,8,1,1,0,3,0,0,0,3,83.0,12.0,3.0,5.0
121,مال,noun,1,80,1,24,32,80,24,15,7,0,1,24,8,0,5,2,0,2,0,4,306.0,15.0,7.0,7.0
122,كَيْ,conj_sub,1,77,0,27,44,58,30,17,4,0,2,17,0,0,1,5,0,0,0,4,283.0,12.0,6.0,8.0
123,عَمَل,noun,3,263,5,75,152,335,113,47,38,0,11,65,11,2,6,18,0,1,0,3,1145.0,16.0,6.0,7.0
124,دُون,noun,2,149,2,54,69,171,51,22,9,0,3,34,10,0,9,16,1,1,0,4,602.0,15.0,7.0,8.0
125,مَزِيد,noun,1,23,0,12,12,15,7,8,2,0,0,5,3,0,0,2,0,0,0,4,90.0,11.0,4.0,7.0
126,وَقْت,noun,2,205,5,58,134,149,105,47,12,0,6,41,14,0,6,14,0,0,0,4,798.0,14.0,6.0,8.0
127,أَثْناءَ,noun,1,81,1,23,24,62,44,14,13,0,0,12,1,1,1,2,0,0,0,3,280.0,14.0,7.0,7.0
128,بَرّ,noun,1,20,1,3,8,18,18,5,3,0,1,5,2,0,0,1,0,0,1,1,87.0,14.0,1.0,5.0
129,أُسْرَة,noun,1,65,3,13,34,54,20,10,25,0,7,10,4,2,1,4,0,1,0,3,254.0,16.0,5.0,5.0
130,وَلَد,noun,1,69,3,31,61,28,22,16,18,0,6,6,15,3,1,1,0,0,0,3,281.0,15.0,3.0,5.0
131,تَناوَل,verb,2,29,0,9,20,33,14,9,5,0,2,15,4,0,3,5,0,1,0,4,151.0,14.0,4.0,6.0
132,عِيد,noun,4,37,3,16,17,22,25,12,20,1,4,5,13,12,1,0,0,1,0,2,193.0,16.0,3.0,3.0
133,جَمال,noun,1,50,2,14,35,24,15,8,8,0,1,16,4,2,0,8,0,0,0,3,188.0,14.0,3.0,6.0
134,قَلْب,noun,2,59,2,106,46,65,28,8,8,0,0,15,18,1,6,10,1,1,0,3,375.0,15.0,7.0,7.0
135,خَطْوَة,noun,17,93,19,27,84,64,37,36,105,0,62,10,6,2,1,7,0,1,0,3,571.0,16.0,4.0,4.0
136,قَدِيم,adj,1,163,3,27,72,187,39,19,26,2,7,67,10,0,9,33,0,1,0,2,666.0,16.0,5.0,7.0
137,جَزِيرَة,noun,1,86,1,16,36,97,33,7,8,0,2,26,9,3,4,2,0,0,0,3,331.0,15.0,5.0,7.0
138,زِراعَة,noun,1,36,0,5,14,35,12,7,14,0,6,4,2,0,0,1,0,0,0,4,137.0,12.0,5.0,5.0
139,مَنْ,pron_interrog,1,36,2,2,38,20,17,12,8,0,23,9,4,0,2,3,1,0,0,4,177.0,14.0,5.0,5.0
140,آيَة,noun,3,94,0,49,26,103,31,23,13,0,13,19,4,0,1,5,1,0,0,4,384.0,13.0,5.0,5.0
141,كَلِمَة,noun,1,162,9,53,129,99,63,60,60,1,35,29,17,0,5,15,0,1,0,2,739.0,16.0,5.0,5.0
142,فَضاء,noun,2,23,1,7,18,56,15,5,1,0,7,14,0,1,6,6,1,0,0,3,162.0,14.0,4.0,5.0
143,شَجَرَة,noun,2,129,8,32,55,40,38,24,36,0,6,6,10,3,1,2,0,1,0,3,393.0,16.0,5.0,6.0
144,خاصّ,adj,2,148,3,29,38,205,37,12,5,1,2,52,3,0,9,22,1,1,0,2,569.0,16.0,7.0,8.0
145,صَغِير,adj,3,170,11,34,119,79,76,28,34,5,11,10,24,8,1,5,0,0,0,2,618.0,16.0,3.0,4.0
146,عَيْن,noun,1,131,3,92,58,96,55,16,28,0,7,30,20,1,7,8,2,3,0,3,556.0,16.0,5.0,7.0
147,وَجَد,verb,1,259,10,101,146,186,77,90,33,0,11,56,25,0,6,14,0,1,0,4,1016.0,15.0,5.0,7.0
148,إِلْهام,noun_prop,1,2,1,0,7,0,2,5,0,0,0,0,0,0,0,0,0,0,0,4,18.0,6.0,4.0,4.0
149,شَيْء,noun,4,270,7,149,228,206,125,108,37,1,12,46,35,2,4,32,0,0,0,2,1266.0,16.0,6.0,7.0
150,أَيْنَ,adv_interrog,1,35,19,6,32,20,8,47,33,0,63,3,16,0,2,3,0,0,0,4,288.0,14.0,5.0,5.0
151,أَتَى,verb,1,101,2,25,81,62,33,30,16,0,2,21,6,0,3,9,1,2,0,4,394.0,15.0,7.0,7.0
152,ذَهَب,verb,3,92,14,24,66,25,35,70,40,0,5,14,15,0,0,7,0,1,0,4,411.0,14.0,5.0,6.0
153,صَفْحَة,noun,1,26,3,8,17,22,12,8,2,1,1,10,1,1,0,3,0,0,0,2,116.0,15.0,4.0,5.0
154,ٱِسْتَمَع,verb,1,10,2,7,15,9,6,19,10,0,12,1,4,2,0,0,0,1,0,3,99.0,14.0,3.0,3.0
155,آتِي,adj,1,69,0,10,54,65,32,57,46,0,20,7,13,0,0,3,0,0,0,4,377.0,12.0,5.0,5.0
156,أُمّ,noun,6,124,10,52,75,37,50,41,36,1,27,9,48,15,5,3,1,1,0,2,540.0,17.0,3.0,3.0
157,رَأْي,noun,1,45,6,25,35,79,18,7,17,0,13,28,6,0,7,17,0,0,0,4,304.0,14.0,5.0,5.0
158,عِلْم,noun,3,142,3,35,69,378,64,22,31,0,6,132,10,4,38,104,1,0,0,3,1041.0,15.0,6.0,7.0
159,دَرْس,noun,2,21,8,12,21,17,16,17,24,0,19,9,5,4,1,0,0,0,0,3,176.0,14.0,3.0,3.0
160,١٣,digit,1,3,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,8.0,6.0,4.0,4.0
161,مِثْل,noun,1,293,2,100,129,283,91,39,27,0,7,95,10,1,20,44,0,4,2,1,1148.0,17.0,7.0,7.0
162,بَلَد,noun,3,141,3,40,82,231,59,37,32,1,2,50,10,1,2,10,0,0,0,2,704.0,16.0,7.0,7.0
163,رَجُل,noun,6,218,8,80,142,131,74,50,35,0,7,26,37,1,3,5,1,1,0,3,824.0,16.0,6.0,7.0
164,ضَحِك,verb,2,18,2,16,21,3,7,5,3,0,1,1,11,4,0,1,0,0,1,1,96.0,15.0,1.0,3.0
165,أَهْل,noun,2,91,1,38,55,83,34,18,11,0,2,32,12,1,7,6,0,1,0,3,394.0,16.0,6.0,7.0
166,نَعَم,interj,4,43,9,10,41,11,16,29,17,2,1,1,21,6,0,0,0,0,1,1,212.0,15.0,3.0,3.0
167,بَحْر,noun,3,147,6,32,69,142,62,27,19,3,3,19,6,3,1,4,0,0,1,1,547.0,17.0,4.0,6.0
168,مَجْلِس,noun,2,61,0,25,5,319,16,6,2,0,3,34,1,0,3,12,0,0,0,4,489.0,13.0,6.0,9.0
169,حاجَة,noun,1,57,0,21,23,57,31,9,6,0,0,21,10,1,5,4,0,0,0,3,246.0,13.0,7.0,7.0
170,خَطّ,noun,1,64,1,28,28,102,29,6,11,0,0,20,7,0,0,9,0,1,0,4,307.0,13.0,7.0,7.0
171,بِن,noun_prop,2,392,26,44,118,426,102,11,12,0,5,186,6,7,22,19,5,0,0,3,1378.0,15.0,6.0,7.0
172,عَبْد,noun_prop,6,110,20,24,39,113,28,24,41,0,8,41,5,18,10,5,0,0,0,3,492.0,15.0,3.0,3.0
173,عُمَر,noun_prop,1,59,3,5,18,47,18,3,5,0,4,14,1,1,0,1,0,1,0,3,181.0,15.0,5.0,5.0
174,حَلَّل,verb,1,2,0,1,4,12,3,5,10,0,5,5,0,0,1,2,0,0,0,4,51.0,12.0,4.0,5.0
175,ٱِقْتَرَح,verb,1,6,1,5,3,15,4,3,2,0,2,1,0,0,0,3,0,0,0,4,46.0,12.0,4.0,4.0
176,راشِد,noun_prop,3,24,3,4,26,5,12,13,6,2,7,0,17,2,0,0,0,0,1,1,125.0,14.0,2.0,3.0
177,زَمان,noun,1,31,0,10,20,25,15,3,2,0,0,11,1,2,0,8,0,0,0,3,129.0,12.0,3.0,5.0
178,فَقَط,adv,1,121,2,20,52,71,25,19,10,0,1,15,2,0,3,4,0,0,0,4,346.0,14.0,7.0,7.0
179,كَتَب,verb,2,80,6,30,93,86,40,39,24,1,19,27,10,0,2,4,0,0,0,2,463.0,15.0,5.0,5.0
180,سَعُودِيَّة,noun_prop,1,15,22,2,5,14,2,6,0,0,0,1,3,0,0,0,0,0,0,4,71.0,10.0,4.0,6.0
181,حَياة,noun,2,238,3,110,120,283,79,36,17,1,14,80,15,1,13,35,0,0,0,2,1047.0,16.0,5.0,7.0
182,حال,noun,1,103,2,43,53,98,32,36,14,0,3,30,13,0,9,10,0,0,0,4,447.0,14.0,7.0,7.0
183,هَلْ,part_interrog,1,138,5,28,111,56,37,97,317,0,10,13,47,0,6,11,0,1,3,1,881.0,16.0,5.0,7.0
184,إِسْلام,noun,2,73,4,18,25,110,26,4,12,0,0,23,9,0,2,3,0,0,0,4,311.0,13.0,6.0,7.0
185,جِهَة,noun,1,49,8,16,27,67,18,3,9,0,4,5,1,0,0,3,0,0,0,4,211.0,13.0,5.0,6.0
186,ٱِحْتِرام,noun,1,19,0,10,7,48,4,3,2,0,4,9,4,0,0,1,0,0,0,4,112.0,12.0,5.0,5.0
187,مَوْقِع,noun,1,78,4,10,42,123,36,15,7,0,3,10,2,2,1,11,0,0,0,3,345.0,15.0,6.0,7.0
188,حَرْب,noun,1,57,2,33,24,150,21,8,1,0,0,29,2,0,2,15,0,0,0,4,345.0,13.0,8.0,8.0
189,ٱِقْتَرَب,verb,3,27,4,11,7,9,13,9,1,0,2,2,2,0,1,0,0,0,0,4,91.0,13.0,4.0,4.0
190,أَحْمَد,noun_prop,4,50,10,8,15,36,12,13,35,1,6,13,7,15,4,5,3,0,1,1,235.0,17.0,3.0,3.0
191,شَعَر,verb,4,55,0,80,62,23,20,7,3,0,2,6,32,0,1,3,0,0,0,4,298.0,13.0,4.0,6.0
192,جار,noun,2,38,4,9,13,7,15,12,11,0,4,4,3,0,2,1,0,0,0,4,125.0,14.0,4.0,5.0
193,طَرِيقَة,noun,1,66,3,18,46,82,33,20,4,0,1,22,3,1,4,13,0,0,0,3,317.0,15.0,7.0,8.0
194,ثَلاث,noun_num,2,174,6,39,74,113,45,26,30,0,2,23,13,2,7,13,0,0,0,3,569.0,15.0,6.0,7.0
195,مُدِير,noun,1,22,0,5,12,23,7,5,5,1,1,2,1,1,3,2,0,0,2,1,93.0,16.0,1.0,1.0
196,صِحَّة,noun,1,29,0,16,14,59,19,1,8,0,1,6,4,0,0,6,0,0,0,4,164.0,12.0,6.0,7.0
197,1,digit,1,82,6,35,22,86,25,7,17,1,4,16,4,7,3,5,0,0,0,2,321.0,16.0,3.0,3.0
198,والِد,noun,1,133,6,35,71,39,54,28,27,1,7,4,27,4,0,2,0,0,0,2,439.0,15.0,4.0,6.0
199,ٱِسْتَخْدَم,verb,1,87,2,21,68,125,36,19,10,0,4,24,7,0,5,19,0,0,0,4,428.0,14.0,6.0,7.0
200,ٱِسْتَنْتَج,verb,4,28,3,2,16,17,21,9,9,0,9,5,0,1,0,0,0,0,0,3,124.0,12.0,4.0,4.0
201,مُفِيد,adj,1,17,1,3,9,13,4,8,6,0,3,1,4,1,1,0,0,0,0,3,72.0,14.0,3.0,5.0
